,accuracy,epochs,batch,lag,num_flows,n_neurons,lr
0,0.7102766423357664,500,256,True,16,64,0.0004
1,0.7061521897810219,500,256,True,16,64,4e-05
2,0.5987182481751825,500,256,True,16,64,4e-06
3,0.76700200729927,500,256,True,32,64,0.0004
4,0.7509025547445255,500,256,True,32,64,4e-05
5,0.5929085766423358,500,256,True,32,64,4e-06
6,0.7628182481751825,500,256,False,16,64,0.0004
7,0.6412686131386861,500,256,False,16,64,4e-05
8,0.5469286496350365,500,256,False,16,64,4e-06
9,0.7908474452554745,500,256,False,32,64,0.0004
10,0.7312781021897811,500,256,False,32,64,4e-05
11,0.573901094890511,500,256,False,32,64,4e-06
12,0.6964443430656935,500,512,True,16,64,0.0004
13,0.7087605839416058,500,512,True,16,64,4e-05
14,0.5904224452554745,500,512,True,16,64,4e-06
15,0.7602439781021898,500,512,True,32,64,0.0004
16,0.7526773722627738,500,512,True,32,64,4e-05
17,0.5925680656934307,500,512,True,32,64,4e-06
18,0.7666536496350365,500,512,False,16,64,0.0004
19,0.6426715328467153,500,512,False,16,64,4e-05
20,0.542473905109489,500,512,False,16,64,4e-06
21,0.7957861313868613,500,512,False,32,64,0.0004
22,0.7529310218978102,500,512,False,32,64,4e-05
23,0.5736204379562044,500,512,False,32,64,4e-06
24,0.7038401459854015,500,1024,True,16,64,0.0004
25,0.7169733576642335,500,1024,True,16,64,4e-05
26,0.5867748175182482,500,1024,True,16,64,4e-06
27,0.735235401459854,500,1024,True,32,64,0.0004
28,0.7477532846715328,500,1024,True,32,64,4e-05
29,0.5960633211678832,500,1024,True,32,64,4e-06
30,0.770801094890511,500,1024,False,16,64,0.0004
31,0.6500465328467153,500,1024,False,16,64,4e-05
32,0.5440034671532846,500,1024,False,16,64,4e-06
33,0.7969222627737226,500,1024,False,32,64,0.0004
34,0.7667883211678832,500,1024,False,32,64,4e-05
35,0.5839706204379562,500,1024,False,32,64,4e-06
36,0.7074921532846715,1000,256,True,16,64,0.0004
37,0.6912001824817519,1000,256,True,16,64,4e-05
38,0.6119213503649635,1000,256,True,16,64,4e-06
39,0.7703467153284671,1000,256,True,32,64,0.0004
40,0.7440817518248175,1000,256,True,32,64,4e-05
41,0.6480339416058394,1000,256,True,32,64,4e-06
